# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	ENSG00000128274	ENST00000483026	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	ENSG00000128274	ENST00000642412	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
A4GNT	ENSG00000118017	ENST00000236709	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
AAAS	ENSG00000094914	ENST00000209873	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAAS	ENSG00000094914	ENST00000394384	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAAS	ENSG00000094914	ENST00000546393	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000546562	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000546572	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547238	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547520	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547757	protein_coding	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547761	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000548258	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AAAS	ENSG00000094914	ENST00000548880	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000548931	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAAS	ENSG00000094914	ENST00000549450	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000549983	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000550033	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000550286	protein_coding	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
AAAS	ENSG00000094914	ENST00000551724	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AAAS	ENSG00000094914	ENST00000552161	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000552876	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000672797	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000672900	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AADAC	ENSG00000114771	ENST00000232892	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AADAC	ENSG00000114771	ENST00000488869	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	ENSG00000197953	ENST00000356517	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AADACL2	ENSG00000197953	ENST00000445270	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	ENSG00000242908	ENST00000475855		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	ENSG00000242908	ENST00000483843		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000261880	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000542650	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000558725	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000560362	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000561229	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000561452	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AARS1	ENSG00000090861	ENST00000261772	protein_coding	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0
AARS1	ENSG00000090861	ENST00000564359	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AARS1	ENSG00000090861	ENST00000565361	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AARS1	ENSG00000090861	ENST00000566969	retained_intron	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AARS1	ENSG00000090861	ENST00000567490	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AARS1	ENSG00000090861	ENST00000569790	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
AARS1	ENSG00000090861	ENST00000569825	retained_intron	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AARS2	ENSG00000124608	ENST00000244571	protein_coding	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0
AARS2	ENSG00000124608	ENST00000491573	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000268251	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000396600	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000425191	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000561870	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000562115	nonsense_mediated_decay	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000564714	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000565016	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000565671	processed_transcript	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000566590	nonsense_mediated_decay	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000567812	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000568847	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000569156	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0
ABCA1	ENSG00000165029	ENST00000374733	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCA1	ENSG00000165029	ENST00000374736	protein_coding	0	2	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
ABCA1	ENSG00000165029	ENST00000423487	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ABCA1	ENSG00000165029	ENST00000494467	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000269081	protein_coding	0	3	3	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	2	0
ABCA10	ENSG00000154263	ENST00000518929	nonsense_mediated_decay	0	2	0	5	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000521526	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000522406	nonsense_mediated_decay	0	2	0	5	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000523419	nonsense_mediated_decay	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000523512	nonsense_mediated_decay	0	1	0	7	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000524273	nonsense_mediated_decay	0	1	0	4	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0
ABCA12	ENSG00000144452	ENST00000272895	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0
ABCA12	ENSG00000144452	ENST00000389661	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0
ABCA13	ENSG00000179869	ENST00000411975	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000417403	nonsense_mediated_decay	0	0	0	8	1	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	0	5	6	1	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	2	0	0	0	0	4	0
ABCA13	ENSG00000179869	ENST00000453246	nonsense_mediated_decay	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000544596	protein_coding	0	2	2	4	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	1	4
ABCA13	ENSG00000179869	ENST00000611776	processed_transcript	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	4
ABCA2	ENSG00000107331	ENST00000265662	protein_coding	0	5	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2
ABCA2	ENSG00000107331	ENST00000341511	protein_coding	0	5	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2
ABCA2	ENSG00000107331	ENST00000371605	protein_coding	0	5	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2
ABCA2	ENSG00000107331	ENST00000398207	retained_intron	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000425423	retained_intron	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000431584	retained_intron	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000437791	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000459850	retained_intron	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000463603	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000464157	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000464520	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000464876	retained_intron	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000466707	retained_intron	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000467624	retained_intron	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000470535	nonsense_mediated_decay	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000476211	retained_intron	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000479446	nonsense_mediated_decay	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000487109	nonsense_mediated_decay	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000488535	nonsense_mediated_decay	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000490486	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000492260	retained_intron	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000494046	retained_intron	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ABCA2	ENSG00000107331	ENST00000614293	protein_coding	0	6	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	1
ABCA2	ENSG00000107331	ENST00000625103	protein_coding	0	1	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCA3	ENSG00000167972	ENST00000301732	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCA3	ENSG00000167972	ENST00000382381	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCA3	ENSG00000167972	ENST00000566200	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000569062	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA4	ENSG00000198691	ENST00000465352	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000484388	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000536513	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCA4	ENSG00000198691	ENST00000649773	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCA5	ENSG00000154265	ENST00000392676	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000586811	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000586995	nonsense_mediated_decay	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000587607	non_stop_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000588665	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000588877	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000589975	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000591234	nonsense_mediated_decay	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000592568	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000593153	protein_coding	0	0	3	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000593253	non_stop_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000263094	protein_coding	0	6	3	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	5	1
ABCA7	ENSG00000064687	ENST00000433129	retained_intron	0	1	0	10	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	1	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000435683	nonsense_mediated_decay	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4
ABCA7	ENSG00000064687	ENST00000524383	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000524850	protein_coding	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000525073	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1
ABCA7	ENSG00000064687	ENST00000525238	retained_intron	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000526885	retained_intron	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000527496	retained_intron	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000529442	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000530092	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000530703	retained_intron	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000531467	protein_coding	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000531478	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000532194	retained_intron	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000533574	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2
ABCA7	ENSG00000064687	ENST00000612569	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
ABCA7	ENSG00000064687	ENST00000673773	retained_intron	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	0	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
ABCB1	ENSG00000085563	ENST00000416177	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000475929	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000476862	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000482527	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB1	ENSG00000085563	ENST00000488737	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000491360	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB1	ENSG00000085563	ENST00000496821	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000543898	protein_coding	0	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
ABCB1	ENSG00000085563	ENST00000622132	protein_coding	0	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
ABCB11	ENSG00000073734	ENST00000439188	nonsense_mediated_decay	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABCB11	ENSG00000073734	ENST00000478354	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
